Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
I Sistemi di evacuazione del fumo e del calore di tipo naturale (SENFC) ,prevedono la realizzazione di evacuatori ad apertura automatica in grado di mantenere uno strato libero da fumo fino ad una altezza stabilita in fase di progettazione e comunque superiore all’altezza di una persona,prevedono l’attivazione di estrattori meccanici in grado di mantenere uno strato libero da fumo fino ad una altezza stabilita in fase di progettazione e comunque superiore all’altezza di una persona,"prevedono l’apertura automatica delle aperutre ordinariamente disponibili per la funzionalità dell’attività (es. finestre, lucernari, porte, …)",prevedono la realizzazione di evacuatori ad apertura automatica in grado di mantenere uno strato libero da fumo fino ad una altezza stabilita in fase di progettazione e comunque superiore all’altezza di una persona
La misura “Controllo dell’incendio” ,ha come scopo l’individuazione dei presidi antincendio da installare nell’attività per fronteggiare gli eventuali incendi,creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio,attivare le misure protettive e gestionali presenti presso l’attività lavorativa,ha come scopo l’individuazione dei presidi antincendio da installare nell’attività per fronteggiare gli eventuali incendi
"Le sostanze estinguenti che intervengono sul processo di combustione, nel loro impiego possono mettere in atto le seguenti azioni di spegnimento",Solo effetti di soffocamento e raffreddamento,Solo effetti di diluizione e inibizione chimica,Tutti e quattro gli effetti elencati negli altri punti,Tutti e quattro gli effetti elencati negli altri punti
I presidi antincendio installati nei luoghi di lavoro per il controllo dell’incendio sono ,"gli estintori d’incendio e gli impianti di protezione attiva contro l’incendio (es: rete idranti, impianti sprinkler …)",Solo gli estintori,"Solo gli impianti di protezione attiva contro l’incendio (es: rete idranti, impianti sprinkler …)","gli estintori d’incendio e gli impianti di protezione attiva contro l’incendio (es: rete idranti, impianti sprinkler …)"
I presidi antincendio installati nei luoghi di lavoro per il controllo dell’incendio hanno come scopo ,Tutti gli obiettivi indicati negli altri due punti,la protezione nei confronti di un principio di incendio,"la protezione manuale o automatica, finalizzata all’inibizione o al controllo dell’incendio, e la protezione mediante completa estinzione di un incendio",Tutti gli obiettivi indicati negli altri due punti
"Il presidio antincendio “sprinkler” svolge prioritariamente un’azione di controllo dell’incendio, cioè  ","riesce a mantenere l’incendio stesso in uno stato di ""non sviluppo"" o comunque di limitate dimensioni, tale da poter essere facilmente attaccato ed estinto dalle squadre di emergenza successivamente intervenute",riesce sempre a spegnere in maniera completa e definitiva l’incendio,Riesce ad abbattere la concentrazione dell’ossigeno a valori che non consentono lo sviluppo del fuoco,"riesce a mantenere l’incendio stesso in uno stato di ""non sviluppo"" o comunque di limitate dimensioni, tale da poter essere facilmente attaccato ed estinto dalle squadre di emergenza successivamente intervenute"
Gli estintori  ,Sono un presidio antincendio base e il loro impiego è riferibile solo ad un principio d’incendio,Sono un presidio antincendio e il loro impiego è riferibile all’estinzione completa di incendi anche generalizzati,Sono un presidio antincendio e il loro impiego è riferibile all’inibizione di un incendio,Sono un presidio antincendio base e il loro impiego è riferibile solo ad un principio d’incendio
Gli estintori devono essere sempre presenti nei luoghi di lavoro,"Si, sono un presidio di base complementare alle altre misure di protezione attiva e di sicurezza in caso d’incendio ","No, se nell’attività è presente la rete idranti non è necessario installare anche gli estintori","No, se nell’attività è presente un sistema sprinkler non è necessario installare anche gli estintori","Si, sono un presidio di base complementare alle altre misure di protezione attiva e di sicurezza in caso d’incendio "
"Il potenziale di un estintore, cioè la “grandezza dell’incendio” che è in grado di estinguere",È determinata sperimentalmente e in funzione della classe dell’incendio ed è indicata con un codice composto da lettere e numeri (es 13 A – 89 B),Dipende dall’abilità dell’utilizzatore,È stabilita dal datore di lavoro sulla base della propria esperienza,È determinata sperimentalmente e in funzione della classe dell’incendio ed è indicata con un codice composto da lettere e numeri (es 13 A – 89 B)
Gli estintori sono mezzi di estinzione da usare per pronto intervento sui principi d’incendio,"Si, e si distinguono in relazione al peso complessivo in “estintori portatili” ed “estintori carrellati”","No, sono mezzi di protezione da utilizzate per l’estinzione completa di un incendio generalizzato","Si, ma solo quelli che hanno una massa minore o uguale a 20 kg, cosiddetti estintori portatili","Si, e si distinguono in relazione al peso complessivo in “estintori portatili” ed “estintori carrellati”"
Gli estintori portatili sono mezzi di estinzione da usare per pronto intervento sui principi d’incendio,"Si, sono quelli che hanno una massa fino a 150 kg","No, sono mezzi di protezione da utilizzate per l’estinzione completa di un incendio generalizzato","Si, solo quelli che hanno una massa minore o uguale a 20 kg, ","Si, solo quelli che hanno una massa minore o uguale a 20 kg, "
Gli estintori carrellati sono mezzi di estinzione da usare per pronto intervento sui principi d’incendio,"Si, sono quelli che hanno una massa fino a 150 kg","No, sono mezzi di protezione da utilizzate per l’estinzione completa di un incendio generalizzato","Si, solo quelli che hanno una massa minore o uguale a 20 kg, ","Si, sono quelli che hanno una massa fino a 150 kg"
La carica degli estintori portatili utilizzabili in ambienti accessibili al pubblico ,Non può essere superiore a 6 kg o 6 litri,"Può essere di qualunque perso, anche superiore a 6 kg","Può essere di qualunque perso, anche superiore a 20 kg",Non può essere superiore a 6 kg o 6 litri
Un estintore è caratterizzato dall’agente estinguente che contiene,"Si, e si dividono in: a polvere, ad anidride carbonica, ad acqua e agenti estinguenti a base d’acqua (schiuma) ed a “clean agent”)","No, gli estintori nei luoghi di lavoro possono essere solo a polvere","No, gli estintori nei luoghi di lavoro possono essere solo ad anidride carbonica","Si, e si dividono in: a polvere, ad anidride carbonica, ad acqua e agenti estinguenti a base d’acqua (schiuma) ed a “clean agent”)"
Gli estintori portatili sono idonei all’utilizzo su impianti e apparecchiature elettriche,"Si, su impianti e apparecchiature sino a 1000 V ed alla distanza di 1 metro se l’agente estinguente è privo di conducibilità elettrica (es: polvere, anidride carbonica)","Si, su impianti e apparecchiature sino a 1000 V ed alla distanza di 1 metro a prescindere dalla sostanza estinguente","No, mai","Si, su impianti e apparecchiature sino a 1000 V ed alla distanza di 1 metro se l’agente estinguente è privo di conducibilità elettrica (es: polvere, anidride carbonica)"
Gli estintori portatili a base d’acqua sono idonei all’utilizzo su impianti e apparecchiature elettriche,"Si, su impianti e apparecchiature sino a 1000 V ed alla distanza di 1 metro se specificatamente certificato sull’estintore","Si, su impianti e apparecchiature sino a 1000 V, purché alla distanza di 1 metro ","No, mai","Si, su impianti e apparecchiature sino a 1000 V ed alla distanza di 1 metro se specificatamente certificato sull’estintore"
La tipologia degli estintori installati nei luoghi di lavoro,"deve essere selezionata sulla base della valutazione del rischio e, in particolare in riferimento alle classi di fuoco (es. estintori per classe A, estintori polivalenti per classi AB, estintori per la classe F, …).",deve essere selezionata dai Vigili del Fuoco,È selezionata dal Datore di Lavoro sulla base della propria esperienza,"deve essere selezionata sulla base della valutazione del rischio e, in particolare in riferimento alle classi di fuoco (es. estintori per classe A, estintori polivalenti per classi AB, estintori per la classe F, …)."
"Nei luoghi chiusi, fatte salve incompatibilità, nei confronti di principi di incendio di classe A  o classe B",è opportuno l’utilizzo di estintori a base d’acqua (estintori idrici).,è opportuno l’utilizzo di estintori a polvere,è opportuno l’utilizzo di estintori ad anidride carbonica,è opportuno l’utilizzo di estintori a base d’acqua (estintori idrici).
Gli estintori devono essere sempre disponibili per l’uso immediato,"Si, pertanto devono essere collocati in posizione facilmente visibile e raggiungibile, lungo i percorsi d’esodo in prossimità delle uscite dei locali, di piano o finali, ed in prossimità delle aree a rischio specifico","No, poiché sono utilizzati dagli addetti antincendio devono essere posti in prossimità dei locali dove sono presenti gli addetti","No, è sufficiente che siano collocati in un qualunque locale del luogo di lavoro","Si, pertanto devono essere collocati in posizione facilmente visibile e raggiungibile, lungo i percorsi d’esodo in prossimità delle uscite dei locali, di piano o finali, ed in prossimità delle aree a rischio specifico"
Gli estintori di classe A devono essere installati in modo da non superare le massime distanza di raggiungimento indicate nelle norme di prevenzione incendi,"Si, le massime distanze di installazione variano fra i 20 e 40 metri in funzione del rischio di incendio al quale sono esposte le persone (Rvita)","No, poiché sono utilizzati dagli addetti antincendio devono essere posti in prossimità dei locali dove sono presenti gli addetti","No, è sufficiente che siano collocati in un qualunque locale del luogo di lavoro","Si, le massime distanze di installazione variano fra i 20 e 40 metri in funzione del rischio di incendio al quale sono esposte le persone (Rvita)"
